availability,size,total_sqft,bath,balcony,price
Ready To Move,3 BHK,1400.0,3.0,2.0,35.0
Ready To Move,3 BHK,2400.0,3.0,3.0,88.0
Ready To Move,2 BHK,1096.0,2.0,1.0,39.0
Ready To Move,2 BHK,1180.0,1.0,0.0,50.0
Ready To Move,3 BHK,1300.0,2.0,1.0,47.0
18-Apr,2 Bedroom,1020.0,2.0,1.0,62.0
Ready To Move,2 Bedroom,600.0,2.0,0.0,35.0
Ready To Move,4 BHK,2606.0,4.5,1.0,236.3825
Ready To Move,2 BHK,1165.0,2.0,2.0,47.0
18-Mar,3 BHK,1685.0,3.0,3.0,100.0
Ready To Move,2 BHK,1210.0,2.0,1.0,83.0
Ready To Move,2 BHK,1030.0,1.0,2.0,25.75
Ready To Move,2 BHK,1100.0,2.0,2.0,43.5
20-Dec,3 BHK,1482.0,3.0,2.0,86.0
Ready To Move,2 BHK,1344.0,2.0,1.0,108.0
18-Jun,3 BHK,1275.0,2.0,2.0,39.8
Ready To Move,3 Bedroom,462.0,3.0,2.0,38.0
Ready To Move,4 BHK,2606.0,4.5,3.0,236.3825
Ready To Move,2 BHK,1210.0,2.0,2.0,85.0
19-Jun,3 BHK,1320.0,3.0,3.0,226.0
19-Mar,3 BHK,1532.0,3.0,2.0,98.13
Ready To Move,2 BHK,1245.0,2.0,2.0,110.0
Ready To Move,2 BHK,1212.0,2.0,2.0,50.0
18-Oct,2 BHK,1230.0,2.0,1.0,65.0
Ready To Move,5 Bedroom,1000.0,4.5,2.0,180.0
Ready To Move,3 BHK,2257.0,3.0,2.0,159.0
Ready To Move,2 BHK,1246.0,2.0,1.0,65.4
Ready To Move,2 BHK,1080.0,2.0,2.0,41.0
Ready To Move,6 Bedroom,,4.5,3.0,75.0
Ready To Move,3 BHK,1360.0,2.0,3.0,85.0
Ready To Move,2 BHK,1260.0,2.0,2.0,47.88
Ready To Move,4 Bedroom,1200.0,3.0,0.0,110.0
Ready To Move,3 Bedroom,1200.0,3.0,1.0,165.0
Ready To Move,2 BHK,1020.0,2.0,2.0,55.0
18-May,3 BHK,1400.0,2.0,2.0,40.44
Ready To Move,4 Bedroom,1440.0,4.0,0.0,88.0
Ready To Move,6 BHK,800.0,4.5,2.0,75.0
18-Sep,3 BHK,,2.0,2.0,62.81
18-May,2 BHK,1175.0,2.0,1.0,69.0
Ready To Move,2 BHK,1185.0,2.0,1.0,40.17
Ready To Move,3 BHK,2250.0,3.0,1.0,113.0
Ready To Move,2 BHK,1178.0,2.0,2.0,40.43
Ready To Move,4 BHK,2606.0,4.0,2.0,236.3825
Ready To Move,1 BHK,825.0,1.0,1.0,44.9
18-May,3 BHK,1250.0,3.0,2.0,43.0
Ready To Move,2 BHK,1113.12,2.0,2.0,55.0
Ready To Move,3 BHK,1718.0,3.0,3.0,223.0
Ready To Move,2 BHK,1010.0,2.0,1.0,35.0
Ready To Move,4 Bedroom,1500.0,4.0,3.0,236.3825
Ready To Move,1 Bedroom,540.0,1.0,1.0,16.5
18-May,2 BHK,1020.0,2.0,2.0,29.46
18-Jun,2 BHK,1194.0,2.0,1.0,71.64
Ready To Move,8 Bedroom,1470.0,4.5,2.0,236.3825
Ready To Move,3 Bedroom,600.0,4.0,2.0,100.0
Ready To Move,2 BHK,1108.0,2.0,1.0,67.15
Ready To Move,4 BHK,2606.0,2.0,1.0,236.3825
21-Jan,2 BHK,700.0,2.0,1.0,34.99
Ready To Move,3 BHK,1600.0,3.0,3.0,68.0
Ready To Move,2 BHK,1250.0,2.0,2.0,33.0
Ready To Move,1 Bedroom,600.0,1.0,1.0,43.0
Ready To Move,2 BHK,1140.0,2.0,1.0,49.27
Ready To Move,2 BHK,985.0,2.0,1.0,55.0
Ready To Move,2 BHK,982.0,2.0,2.0,55.0
Ready To Move,1 BHK,600.0,1.0,0.0,20.0
Ready To Move,3 BHK,2606.0,4.5,1.0,142.0
Ready To Move,2 BHK,1314.0,2.0,2.0,68.8
Ready To Move,3 BHK,1700.0,2.0,2.0,68.5
18-May,2 BHK,1077.0,2.0,2.0,93.0
Ready To Move,4 Bedroom,,2.0,2.0,66.165
Ready To Move,5 BHK,2000.0,4.0,1.0,99.0
Ready To Move,3 BHK,1643.0,3.0,2.0,75.0
Ready To Move,3 Bedroom,1200.0,3.0,1.0,67.0
Ready To Move,2 BHK,1020.0,2.0,1.0,41.82
Ready To Move,7 Bedroom,621.0,4.5,2.0,64.0
Ready To Move,3 BHK,1740.0,3.0,2.0,55.0
18-May,2 BHK,1225.0,2.0,2.0,47.0
Ready To Move,3 BHK,1241.0,2.0,1.0,61.0
Ready To Move,2 BHK,1041.0,2.0,2.0,40.6
18-Mar,3 BHK,2606.0,3.0,1.0,236.3825
21-May,2 BHK,1309.0,2.0,3.0,64.39
Ready To Move,2 BHK,1128.0,2.0,2.0,45.0
Ready To Move,3 BHK,1430.0,2.0,1.0,50.0
19-Dec,2 BHK,1065.0,2.0,1.0,47.86
Ready To Move,2 BHK,1085.0,2.0,1.0,64.0
Ready To Move,1 Bedroom,750.0,1.0,1.0,30.0
Ready To Move,2 BHK,981.0,2.0,2.0,37.28
18-Dec,4 BHK,1548.3,4.0,1.0,129.0
Ready To Move,4 BHK,2302.0,4.0,2.0,236.3825
Ready To Move,3 BHK,1410.0,2.0,2.0,60.0
19-Mar,3 BHK,1525.84,3.0,1.0,117.0
Ready To Move,2 BHK,1200.0,2.0,2.0,42.6
Ready To Move,2 BHK,1030.0,2.0,2.0,80.0
Ready To Move,3 BHK,1852.0,2.0,2.0,95.0
18-Dec,2 BHK,1160.0,2.0,1.0,33.5
Ready To Move,2 BHK,918.0,2.0,1.0,49.0
Ready To Move,6 Bedroom,1200.0,4.5,3.0,236.3825
Ready To Move,3 BHK,1150.0,2.0,2.0,49.9
Ready To Move,3 BHK,2606.0,3.0,2.0,236.3825
18-Mar,2 BHK,1150.0,2.0,2.0,69.0
Ready To Move,2 BHK,1227.0,2.0,2.0,53.49
18-Dec,3 BHK,1255.0,3.0,2.0,77.68
Ready To Move,6 Bedroom,840.0,4.5,0.0,120.0
Ready To Move,2 BHK,1198.0,2.0,1.0,82.0
Ready To Move,3 BHK,,3.0,1.0,180.0
Ready To Move,4 Bedroom,2600.0,3.0,1.0,95.0
Ready To Move,2 BHK,797.0,2.0,1.0,32.0
Ready To Move,3 BHK,1350.0,2.0,3.0,68.0
Ready To Move,4 BHK,2500.0,4.0,2.0,200.0
Ready To Move,3 BHK,2215.0,4.0,2.0,160.0
21-Dec,1 BHK,525.0,1.0,1.0,30.0
Ready To Move,4 BHK,2606.0,4.0,3.0,236.3825
Ready To Move,3 BHK,1500.0,2.0,1.0,90.0
Ready To Move,3 BHK,1355.0,2.0,3.0,58.27
Ready To Move,3 BHK,1465.0,2.0,2.0,49.81
Ready To Move,2 Bedroom,1006.0,2.0,1.0,57.0
Ready To Move,4 BHK,2000.0,4.0,1.0,75.0
18-Aug,2 BHK,1128.0,2.0,1.0,65.7
Ready To Move,2 BHK,850.0,2.0,0.0,35.0
Ready To Move,3 BHK,1310.0,2.0,3.0,68.0
Ready To Move,2 BHK,1390.0,2.0,2.0,86.0
Ready To Move,3 BHK,1390.0,2.0,2.0,76.45
Ready To Move,4 Bedroom,2396.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1170.0,2.0,1.0,33.0
Ready To Move,3 BHK,1385.0,2.0,2.0,50.0
Ready To Move,2 BHK,1160.0,2.0,1.0,42.0
18-May,2 BHK,1160.0,2.0,1.0,33.5
Ready To Move,3 BHK,1200.0,2.0,2.0,69.0
Ready To Move,2 BHK,1475.0,2.0,2.0,55.0
20-Jul,3 Bedroom,1939.0,3.0,0.0,98.0
Ready To Move,2 BHK,850.0,2.0,2.0,42.0
17-May,1 BHK,675.0,1.0,1.0,45.0
Ready To Move,2 BHK,1060.0,2.0,1.0,51.0
18-Jun,2 BHK,1235.0,2.0,2.0,47.0
18-May,2 Bedroom,600.0,4.0,1.0,110.0
Ready To Move,2 BHK,1250.0,2.0,1.0,60.0
Ready To Move,2 BHK,1460.0,2.0,3.0,70.0
Ready To Move,1 BHK,850.0,1.0,2.0,57.0
Ready To Move,3 BHK,1843.0,3.0,2.0,82.0
Ready To Move,3 BHK,1680.0,3.0,2.0,117.0
Ready To Move,2 BHK,1047.0,2.0,1.0,84.0
18-Jun,2 BHK,1100.0,2.0,2.0,35.0
Ready To Move,8 Bedroom,2606.0,4.5,1.0,236.3825
Ready To Move,2 BHK,1120.0,2.0,3.0,53.0
Ready To Move,2 BHK,1095.0,2.0,2.0,38.33
19-Oct,2 BHK,970.0,2.0,2.0,35.0
Ready To Move,5 Bedroom,1200.0,4.5,2.0,125.0
Ready To Move,3 BHK,1100.0,2.0,3.0,85.0
Ready To Move,3 BHK,1685.0,3.0,2.0,85.0
Ready To Move,2 BHK,1148.0,2.0,1.0,59.0
Ready To Move,3 BHK,1465.0,2.0,1.0,76.0
Ready To Move,4 Bedroom,2606.0,4.5,2.0,230.0
17-Dec,1 BHK,630.0,1.0,1.0,60.0
Ready To Move,9 Bedroom,1200.0,4.5,2.0,175.0
Ready To Move,4 Bedroom,1750.0,2.0,1.0,225.0
Ready To Move,3 BHK,1350.0,3.0,1.0,60.0
Ready To Move,3 BHK,1760.0,3.0,2.0,160.0
Ready To Move,2 BHK,1440.0,2.0,2.0,185.0
Ready To Move,2 BHK,1200.0,2.0,0.0,42.0
Ready To Move,2 BHK,1100.0,2.0,1.0,78.0
19-Aug,3 BHK,,3.0,0.0,73.595
Ready To Move,2 BHK,1410.0,2.0,2.0,45.0
Ready To Move,3 BHK,1434.0,2.0,1.0,67.39
Ready To Move,2 Bedroom,1180.0,2.0,2.0,74.0
Ready To Move,2 BHK,1343.0,2.0,2.0,86.0
Ready To Move,2 BHK,1184.0,2.0,1.0,69.0
Ready To Move,3 BHK,2246.0,3.0,0.0,236.3825
Ready To Move,3 Bedroom,2606.0,4.0,3.0,200.0
Ready To Move,4 BHK,2606.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1540.0,3.0,2.0,85.0
Ready To Move,3 BHK,1550.0,3.0,3.0,65.11
Ready To Move,3 BHK,975.0,2.0,2.0,45.0
18-Aug,2 BHK,1152.0,2.0,1.0,34.56
Ready To Move,4 Bedroom,2606.0,4.0,2.0,236.3825
Ready To Move,3 BHK,1800.0,3.0,0.0,230.0
Ready To Move,2 BHK,1102.0,2.0,2.0,53.67
Ready To Move,3 BHK,1223.0,2.0,2.0,42.81
18-Mar,3 BHK,1762.0,3.0,3.0,112.0
Ready To Move,2 BHK,560.0,2.0,1.0,16.6
Ready To Move,6 Bedroom,2000.0,4.5,0.0,85.0
Ready To Move,3 BHK,1410.0,2.0,2.0,38.0
19-Dec,3 BHK,1853.0,3.0,1.0,64.86
Ready To Move,2 BHK,1455.0,2.0,2.0,69.0
18-Jan,2 BHK,1138.0,2.0,1.0,110.0
Ready To Move,3 Bedroom,2556.0,3.0,2.0,169.0
18-May,3 BHK,1200.0,2.0,0.0,66.5
Ready To Move,2 BHK,1200.0,2.0,2.0,37.0
Ready To Move,3 BHK,,4.0,2.0,185.0
19-Jun,3 BHK,1870.0,3.0,2.0,138.0
18-May,2 BHK,1199.0,2.0,1.0,86.0
Ready To Move,6 Bedroom,800.0,4.5,2.0,150.0
Ready To Move,3 BHK,1360.0,2.0,2.0,54.4
Ready To Move,3 BHK,1230.0,3.0,3.0,53.0
Ready To Move,3 BHK,2000.0,3.0,2.0,120.0
Ready To Move,4 Bedroom,1200.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1047.0,2.0,1.0,83.0
18-Mar,4 Bedroom,2606.0,4.0,2.0,236.3825
18-Feb,2 Bedroom,1200.0,2.0,1.0,76.0
18-Jan,2 BHK,,2.0,0.0,44.285
Ready To Move,2 BHK,725.0,2.0,1.0,30.0
Ready To Move,3 BHK,1645.0,3.0,1.0,100.0
Ready To Move,2 BHK,870.0,2.0,1.0,65.0
Ready To Move,2 BHK,1026.0,2.0,1.0,49.95
18-Jul,3 BHK,2000.0,3.0,1.0,145.0
Ready To Move,2 BHK,1710.0,2.0,2.0,200.0
18-Apr,3 BHK,1766.0,3.0,1.0,130.0
Ready To Move,1 BHK,500.0,1.0,1.0,15.0
18-Apr,2 BHK,1100.0,1.0,1.0,15.0
Ready To Move,3 BHK,1221.0,3.0,3.0,52.0
Ready To Move,1 BHK,680.0,1.0,1.0,46.0
Ready To Move,2 BHK,1278.0,2.0,2.0,90.0
Ready To Move,2 BHK,1025.0,2.0,2.0,66.0
18-Aug,2 BHK,1175.0,2.0,1.0,39.0
19-Jul,2 BHK,,2.0,0.0,28.275
Ready To Move,1 Bedroom,600.0,1.0,1.0,75.0
Ready To Move,2 BHK,850.0,2.0,1.0,42.0
Ready To Move,2 BHK,710.0,2.0,0.0,25.0
18-Apr,1 BHK,625.0,1.0,1.0,19.0
Ready To Move,3 BHK,1340.0,3.0,1.0,66.0
Ready To Move,2 BHK,937.0,2.0,1.0,35.0
Ready To Move,7 Bedroom,1500.0,4.5,0.0,210.0
Ready To Move,1 BHK,750.0,1.0,1.0,52.5
Ready To Move,5 Bedroom,,4.5,3.0,236.3825
Ready To Move,3 BHK,1475.0,3.0,3.0,78.0
Ready To Move,4 Bedroom,2230.0,4.0,1.0,130.0
Ready To Move,4 Bedroom,2200.0,4.5,1.0,100.0
Ready To Move,2 Bedroom,900.0,2.0,0.0,65.0
Ready To Move,2 BHK,1116.0,2.0,2.0,37.0
Ready To Move,2 BHK,948.0,2.0,1.0,75.0
Ready To Move,2 BHK,970.0,2.0,1.0,55.0
Ready To Move,3 BHK,1519.0,3.0,2.0,67.23
Ready To Move,3 BHK,1760.0,3.0,2.0,127.0
Ready To Move,4 Bedroom,2606.0,4.5,3.0,236.3825
Ready To Move,3 BHK,1914.0,3.0,3.0,179.0
Ready To Move,3 BHK,1820.0,3.0,2.0,85.5
Ready To Move,3 BHK,1565.0,3.0,2.0,78.0
Ready To Move,2 BHK,1334.0,2.0,3.0,42.69
19-Mar,2 BHK,924.0,2.0,2.0,76.23
Ready To Move,2 BHK,914.0,2.0,2.0,49.0
18-Mar,3 BHK,2145.0,3.0,3.0,125.0
Ready To Move,5 Bedroom,1200.0,4.5,2.0,162.0
18-Apr,3 BHK,1650.0,3.0,2.0,100.0
Ready To Move,4 BHK,2606.0,4.0,3.0,220.0
18-Dec,2 BHK,1020.0,2.0,1.0,29.45
Ready To Move,2 BHK,1180.0,2.0,3.0,58.0
Ready To Move,2 BHK,1255.0,2.0,3.0,120.0
20-Jul,3 BHK,2606.0,4.5,2.0,236.3825
Ready To Move,2 BHK,1014.0,2.0,1.0,35.0
Ready To Move,4 Bedroom,920.0,2.0,0.0,90.0
Ready To Move,2 BHK,695.0,1.0,1.0,25.0
Ready To Move,3 Bedroom,2273.0,4.0,3.0,220.0
18-Mar,2 BHK,1140.0,2.0,2.0,48.95
Ready To Move,6 Bedroom,2606.0,4.0,1.0,236.3825
20-Aug,4 BHK,2400.0,4.0,2.0,152.0
Ready To Move,2 BHK,850.0,1.0,1.0,25.0
Ready To Move,2 BHK,1200.0,2.0,1.0,60.0
18-Dec,4 BHK,2606.0,4.0,3.0,206.0
Ready To Move,3 BHK,1769.0,3.0,3.0,96.87
Ready To Move,4 Bedroom,,3.0,2.0,160.0
18-Dec,4 BHK,1554.3,4.0,1.0,131.0
18-Apr,4 Bedroom,2606.0,4.5,2.0,236.3825
Ready To Move,2 BHK,905.0,2.0,1.0,40.0
Ready To Move,1 Bedroom,627.0,1.0,1.0,30.0
18-Mar,3 BHK,2180.0,3.0,2.0,236.3825
Ready To Move,3 BHK,2400.0,3.0,2.0,236.3825
Ready To Move,3 BHK,1435.0,3.0,1.0,73.0
22-May,4 BHK,2606.0,4.5,3.0,236.3825
Ready To Move,3 BHK,1620.0,3.0,2.0,130.0
Ready To Move,3 BHK,1862.0,3.0,2.0,125.0
19-Nov,2 BHK,674.0,1.0,1.0,19.9
Ready To Move,2 BHK,1220.0,2.0,1.0,59.0
Ready To Move,2 BHK,1025.0,2.0,1.0,49.0
Ready To Move,3 BHK,1430.0,2.0,3.0,54.5
Ready To Move,2 BHK,1235.0,2.0,3.0,65.0
Ready To Move,3 BHK,1291.0,2.0,3.0,32.0
Ready To Move,3 BHK,1498.0,3.0,2.0,95.0
Ready To Move,3 BHK,2180.0,3.0,2.0,236.3825
18-Apr,2 BHK,1000.0,2.0,1.0,29.7
Ready To Move,2 Bedroom,922.0,2.0,1.0,70.0
Ready To Move,2 BHK,850.0,2.0,1.0,72.0
Ready To Move,3 Bedroom,750.0,3.0,2.0,155.0
Ready To Move,2 BHK,1123.0,2.0,2.0,64.0
Ready To Move,2 BHK,1235.0,2.0,1.0,75.0
Ready To Move,2 BHK,1250.0,2.0,1.0,55.55
Ready To Move,4 Bedroom,2403.0,4.5,2.0,236.3825
18-Nov,2 BHK,984.0,2.0,1.0,45.91
Ready To Move,2 BHK,1305.0,2.0,1.0,99.0
Ready To Move,2 Bedroom,1200.0,1.0,0.0,65.0
Ready To Move,3 Bedroom,600.0,3.0,1.0,90.0
19-Jun,4 BHK,2606.0,4.5,3.0,204.0
Ready To Move,4 BHK,2010.0,3.0,2.0,125.0
Ready To Move,2 BHK,995.0,2.0,0.0,42.0
Ready To Move,2 BHK,1277.0,2.0,2.0,59.0
Ready To Move,2 BHK,1236.0,2.0,2.0,61.33
Ready To Move,2 BHK,1265.0,2.0,3.0,67.0
18-Apr,1 BHK,525.0,2.0,2.0,27.0
Ready To Move,5 BHK,2570.0,4.0,2.0,141.0
Ready To Move,4 Bedroom,2400.0,4.5,3.0,236.3825
Ready To Move,3 BHK,1442.0,3.0,2.0,56.24
Ready To Move,2 BHK,1224.0,2.0,2.0,70.0
Ready To Move,2 BHK,1205.0,2.0,1.0,59.0
Ready To Move,2 BHK,1233.0,2.0,3.0,100.0
Ready To Move,2 BHK,1312.0,2.0,3.0,69.0
Ready To Move,3 BHK,1449.0,3.0,2.0,90.0
Ready To Move,2 BHK,1090.0,2.0,1.0,54.0
Ready To Move,5 Bedroom,2100.0,4.5,0.0,150.0
Ready To Move,3 BHK,1390.0,2.0,3.0,62.55
Ready To Move,2 BHK,1200.0,2.0,3.0,78.0
Ready To Move,4 Bedroom,600.0,2.0,2.0,50.0
Ready To Move,2 BHK,1000.0,2.0,2.0,58.0
18-Oct,4 Bedroom,2400.0,4.5,2.0,190.0
21-Dec,3 BHK,1732.0,3.0,1.0,85.73
Ready To Move,2 BHK,1290.0,2.0,2.0,80.0
Ready To Move,3 BHK,1840.0,3.0,3.0,85.0
Ready To Move,3 BHK,1917.0,4.0,2.0,100.0
Ready To Move,2 BHK,1100.0,2.0,2.0,57.0
Ready To Move,3 BHK,1455.0,2.0,3.0,60.0
Ready To Move,5 Bedroom,1200.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1425.0,2.0,2.0,65.0
18-Dec,3 BHK,1655.0,3.0,1.0,113.0
18-Mar,4 BHK,2606.0,4.5,3.0,160.0
Ready To Move,7 Bedroom,600.0,4.5,3.0,93.0
Ready To Move,2 BHK,1040.0,2.0,1.0,46.79
Ready To Move,2 BHK,1126.0,2.0,1.0,55.0
Ready To Move,6 Bedroom,1600.0,4.0,1.0,200.0
Ready To Move,4 Bedroom,1800.0,4.0,2.0,180.0
Ready To Move,2 Bedroom,1200.0,2.0,0.0,53.0
Ready To Move,4 BHK,2050.0,3.0,1.0,100.0
Ready To Move,1 BHK,530.0,1.0,1.0,29.44
19-Jun,4 Bedroom,,4.0,0.0,139.5
Ready To Move,2 BHK,883.0,2.0,1.0,37.0
Ready To Move,3 BHK,1275.0,3.0,1.0,59.0
Ready To Move,1 BHK,1200.0,1.0,0.0,95.0
Ready To Move,2 BHK,1063.0,2.0,1.0,58.0
Ready To Move,1 BHK,656.0,1.0,1.0,43.0
Ready To Move,2 BHK,1125.0,2.0,2.0,36.0
18-Dec,2 BHK,881.0,2.0,1.0,48.06
Ready To Move,9 Bedroom,1350.0,4.5,2.0,200.0
Ready To Move,2 BHK,700.0,1.0,1.0,32.0
Ready To Move,3 Bedroom,1936.0,3.0,0.0,110.0
18-Dec,3 BHK,1680.0,3.0,1.0,101.0
Ready To Move,2 BHK,1253.0,2.0,2.0,57.0
Ready To Move,3 BHK,1640.0,3.0,3.0,230.0
Ready To Move,3 BHK,1082.0,3.0,2.0,50.0
18-Dec,2 BHK,1065.0,2.0,1.0,30.75
18-Dec,3 BHK,2100.0,4.0,2.0,145.0
Ready To Move,2 BHK,1070.0,2.0,1.0,58.0
16-Sep,3 BHK,1280.0,3.0,2.0,57.6
18-Apr,5 Bedroom,1200.0,4.5,2.0,236.3825
18-Aug,2 BHK,1125.0,2.0,1.0,29.25
Ready To Move,3 BHK,1755.0,3.0,2.0,122.0
Ready To Move,2 BHK,1210.0,2.0,1.0,54.0
18-Sep,2 BHK,951.0,2.0,2.0,30.43
18-Apr,3 BHK,1500.0,2.0,1.0,75.0
Ready To Move,3 BHK,1652.5,3.0,2.0,90.0
Ready To Move,3 BHK,1381.0,2.0,2.0,76.18
18-Dec,2 BHK,1085.0,2.0,1.0,57.0
18-Apr,1 BHK,905.0,1.0,1.0,50.0
Ready To Move,2 BHK,1151.0,2.0,1.0,42.9
Ready To Move,4 Bedroom,2606.0,3.0,3.0,170.0
Ready To Move,2 BHK,800.0,2.0,1.0,40.0
Ready To Move,2 Bedroom,1050.0,2.0,1.0,162.0
Ready To Move,2 BHK,1030.0,2.0,2.0,46.5
Ready To Move,2 BHK,1257.0,2.0,1.0,71.03
18-Dec,3 BHK,1600.0,3.0,2.0,82.0
Ready To Move,3 BHK,1465.0,3.0,3.0,75.0
Ready To Move,3 BHK,1650.0,3.0,2.0,111.0
Ready To Move,2 Bedroom,680.0,1.0,1.0,80.0
18-Aug,4 Bedroom,1230.0,4.0,2.0,80.0
Ready To Move,2 BHK,1300.0,2.0,2.0,82.0
Ready To Move,2 BHK,1000.0,2.0,1.0,44.5
Ready To Move,2 BHK,1146.0,2.0,1.0,53.8
Ready To Move,6 BHK,1200.0,4.5,3.0,120.0
18-Mar,3 BHK,2601.0,4.0,2.0,236.3825
Ready To Move,3 BHK,2159.0,3.0,2.0,110.0
Ready To Move,2 BHK,1255.0,2.0,2.0,40.0
Ready To Move,2 BHK,1040.0,2.0,1.0,37.0
Ready To Move,8 Bedroom,1500.0,4.5,2.0,150.0
Ready To Move,4 Bedroom,906.0,3.0,2.0,55.0
Ready To Move,2 BHK,1180.0,2.0,1.0,41.3
Ready To Move,7 Bedroom,1200.0,4.5,2.0,169.0
Ready To Move,6 Bedroom,850.0,4.5,2.0,100.0
Ready To Move,2 BHK,1200.0,2.0,3.0,47.0
Ready To Move,3 BHK,1374.0,3.0,2.0,51.0
Ready To Move,9 BHK,2606.0,4.5,3.0,130.0
19-Dec,1 BHK,,1.0,0.0,32.15
Ready To Move,3 Bedroom,2400.0,2.0,0.0,236.3825
Ready To Move,5 Bedroom,1200.0,4.0,2.0,130.0
Ready To Move,3 BHK,2384.0,4.0,2.0,165.0
19-Aug,3 BHK,1033.0,2.0,2.0,28.41
Ready To Move,3 BHK,2017.0,3.0,2.0,105.0
Ready To Move,3 Bedroom,1500.0,3.0,2.0,138.0
Ready To Move,2 BHK,700.0,2.0,0.0,43.0
Ready To Move,6 Bedroom,1150.0,4.5,2.0,75.0
Ready To Move,3 BHK,1495.0,2.0,2.0,52.33
Ready To Move,2 BHK,1302.0,2.0,1.0,68.5
18-Mar,1 BHK,905.0,1.0,1.0,52.0
Ready To Move,2 BHK,1303.0,2.0,1.0,55.79
Ready To Move,3 BHK,1350.0,3.0,0.0,71.0
Ready To Move,3 BHK,1380.0,2.0,2.0,95.0
Ready To Move,3 BHK,1620.0,3.0,1.0,110.0
Ready To Move,4 Bedroom,2606.0,4.0,3.0,236.3825
Ready To Move,2 BHK,1000.0,2.0,1.0,38.5
Ready To Move,3 Bedroom,800.0,4.0,0.0,88.0
18-Apr,2 BHK,1250.0,1.0,1.0,54.0
Ready To Move,3 BHK,1750.0,3.0,3.0,170.0
Ready To Move,3 BHK,997.0,3.0,2.0,55.0
15-Oct,3 BHK,1760.0,3.0,2.0,111.0
Ready To Move,2 BHK,1322.0,2.0,2.0,75.0
Ready To Move,3 Bedroom,1365.0,3.0,0.0,99.0
Ready To Move,3 BHK,1500.0,3.0,2.0,125.0
Ready To Move,3 BHK,1256.0,2.0,2.0,50.0
Ready To Move,2 BHK,941.0,2.0,2.0,48.0
Ready To Move,4 Bedroom,2606.0,4.0,3.0,236.3825
Ready To Move,2 BHK,1414.0,2.0,2.0,84.18
Ready To Move,3 BHK,1270.0,2.0,3.0,55.25
Ready To Move,3 Bedroom,800.0,2.0,2.0,80.0
Ready To Move,4 Bedroom,2606.0,3.0,0.0,236.3825
Ready To Move,6 Bedroom,1800.0,3.0,2.0,105.0
21-Mar,1 BHK,712.0,1.0,1.0,38.44
17-Dec,4 BHK,,4.5,0.0,236.3825
Ready To Move,3 Bedroom,900.0,4.0,2.0,180.0
Ready To Move,2 BHK,1200.0,2.0,1.0,49.0
Ready To Move,1 BHK,654.0,1.0,1.0,22.0
Ready To Move,2 BHK,708.0,1.0,1.0,55.0
Ready To Move,4 Bedroom,600.0,4.5,3.0,75.0
Ready To Move,3 BHK,1680.0,3.0,3.0,135.0
Ready To Move,2 BHK,990.0,2.0,2.0,58.0
Ready To Move,2 BHK,1380.0,2.0,1.0,42.0
18-May,2 BHK,1088.0,2.0,2.0,62.0
Ready To Move,3 BHK,1414.0,3.0,2.0,77.5
Ready To Move,2 BHK,1240.0,2.0,1.0,100.0
Ready To Move,3 BHK,1810.0,3.0,3.0,118.0
19-Dec,3 BHK,2005.0,3.0,2.0,236.3825
Ready To Move,2 BHK,1185.0,2.0,2.0,58.0
18-Oct,3 Bedroom,1200.0,3.0,2.0,57.15
Ready To Move,2 BHK,1265.0,2.0,1.0,58.0
Ready To Move,2 BHK,1035.0,2.0,2.0,44.0
Ready To Move,1 BHK,,1.0,0.0,30.715
Ready To Move,2 BHK,1000.0,2.0,1.0,97.0
Ready To Move,2 BHK,1179.0,2.0,2.0,49.35
Ready To Move,3 BHK,1650.0,3.0,1.0,84.0
Ready To Move,6 Bedroom,2606.0,4.0,3.0,100.0
Ready To Move,8 Bedroom,2606.0,4.5,2.0,120.0
Ready To Move,3 BHK,1430.0,3.0,1.0,78.65
Ready To Move,3 BHK,1130.0,2.0,2.0,58.0
Ready To Move,3 BHK,1850.0,2.0,2.0,110.0
Ready To Move,3 BHK,1340.0,3.0,2.0,54.24
Ready To Move,4 BHK,,2.0,2.0,236.3825
Ready To Move,2 Bedroom,600.0,2.0,0.0,30.0
Ready To Move,3 BHK,2582.0,4.5,2.0,236.3825
Ready To Move,1 Bedroom,1200.0,2.0,1.0,45.0
18-Aug,2 BHK,1116.0,2.0,1.0,37.6
Ready To Move,3 Bedroom,600.0,2.0,1.0,85.0
Ready To Move,3 BHK,2606.0,4.0,1.0,236.3825
18-Aug,3 BHK,1365.0,2.0,1.0,34.13
20-Feb,3 BHK,1484.0,3.0,2.0,79.19
Ready To Move,3 BHK,1630.0,3.0,2.0,68.0
18-May,3 BHK,1451.0,2.0,2.0,52.43
19-Jul,2 BHK,1330.0,2.0,1.0,107.0
Ready To Move,3 BHK,2127.0,3.0,2.0,135.0
Ready To Move,5 Bedroom,875.0,4.5,3.0,120.0
Ready To Move,4 Bedroom,1260.0,4.0,2.0,65.0
Ready To Move,3 BHK,1173.0,2.0,2.0,45.75
Ready To Move,3 BHK,1445.0,2.0,1.0,56.0
Ready To Move,4 BHK,2250.0,4.0,1.0,236.3825
18-Dec,3 Bedroom,1500.0,4.0,2.0,236.3825
18-Nov,3 BHK,,3.0,0.0,115.89
